SID,NAME,crossing_time,crossing_lon,crossing_lat,JTWC,JMA,CMA,HKO,KMA,JTWC_minus_CMA_ms,JMA_minus_CMA_ms,CMA_minus_CMA_ms,HKO_minus_CMA_ms,KMA_minus_CMA_ms
2020129N07134,VONGFONG,2020-05-14 04:33:55.562488051+00:00,125.51518489633116,12.176090567074311,47.27137984869606,43.72777777777778,45.22111568354608,46.3,40.12666666666667,2.050264165149976,-1.4933379057682998,0.0,1.078884316453916,-5.094449016879409
2020213N15131,HAGUPIT,2020-08-03 19:53:42.153324819+00:00,120.94207978414772,27.984256388534146,32.10478523645323,33.57387577979061,35.79165734747817,36.958509779119666,29.458320224235056,-3.6868721110249396,-2.2177815676875596,0.0,1.1668524316414945,-6.3333371232431155
2020222N15117,MEKKHALA,2020-08-10 23:20:44.991262364+00:00,117.75451409114896,24.058263363012667,33.22951974991293,23.43044471335528,35.02920435234662,35.16977697104528,20.39986698935967,-1.799684602433686,-11.59875963899134,0.0,0.14057261869866267,-14.629337362986949
2020239N13134,MAYSAK,2020-09-02 16:03:18.609121219+00:00,128.5758615333898,34.754481526796525,36.65789323520939,39.417089500225146,38.668058069506245,40.25084566711696,41.127174066936846,-2.0101648342968517,0.749031430718901,0.0,1.582787597610718,2.459115997430601
2020244N25146,HAISHEN,2020-09-06 23:10:24.704092800+00:00,129.1862254819111,35.15563704777779,36.54151886043273,37.074044756970345,36.59648869334659,38.937644548619744,36.32860484031058,-0.05496983291386215,0.47755606362375147,0.0,2.3411558552731506,-0.26788385303601103
2020258N11127,NOUL,2020-09-18 00:31:21.585773522+00:00,108.05609073306186,16.3,21.112734558528228,22.92593255834851,23.103306716840795,22.70186511669702,23.9100079589071,-1.9905721583125668,-0.17737415849228455,0.0,-0.40144160014377306,0.8067012420663069
2020285N17120,NANGKA,2020-10-13 11:26:05.733853917+00:00,110.56592529177118,19.062328404702185,23.696374830287667,23.15,23.7056,23.15,24.081989174317275,-0.00922516971233378,-0.5556000000000019,0.0,-0.5556000000000019,0.3763891743172749
2020296N09137,MOLAVE,2020-10-28 04:22:24.017717918+00:00,108.92533234900452,15.03733382549774,34.78741533479497,37.40582294063975,33.348067029918404,37.40582294063975,37.59788473181146,1.4393483048765674,4.0577559107213474,0.0,4.0577559107213474,4.249817701893058
2020299N11144,GONI,2020-10-31 20:49:09.976140367+00:00,124.34213117608726,13.606018739441035,72.3409131146481,56.898519595688946,61.59616124090033,69.91444606020008,50.756149333035616,10.744751873747774,-4.697641645211384,0.0,8.318284819299748,-10.840011907864714
2020313N08135,VAMCO,2020-11-11 17:05:02.522063019+00:00,121.52899152340144,15.038935593759618,45.81635725948676,36.4037891679069,40.0032,41.15555555555556,37.040000000000006,5.813157259486758,-3.599410832093099,0.0,1.152355555555559,-2.9631999999999934
